IID,Coefficient,StandardError
A_03_01,-0.32139385555877054,0.15434677178126724
A_17_01e1,0.5564691037027658,0.2286670615950306
A_02_02,-0.7778863074660891,0.7613170193867196
A_02_01,0.01217330218497468,0.09857604545265745
A_04_01,0.12122308783970297,0.07199245566885645
A_01_01,0.11420443017022285,0.13904617820880724
A_05_01,0.07778209111490753,0.11268719841450069
A_13_01,-0.292166921942604,0.22603363898868672
A_04_02,-0.21908215655729354,0.13089966545920032
A_104_01e1,-0.3818949680943238,0.3083630907165798
A_10_01,0.22513117222212067,0.29320567465263403
A_06_01e1,-0.4488570749691707,0.48235411229755076
A_09_01,-0.23908601503323157,0.5052989218412113
A_11_01,-0.6053376256637781,0.326055676778939
A_16_01,0.5931702579855919,0.5190010588662028
A_14_01,0.17933070374884896,0.3136148013786324
A_15_01,0.41018687067506915,0.46581869795203734
A_18_01e1,-0.6951531992868119,1.0813602631526356
A_19_01e1,-0.4813850348996834,0.5346209039393951
A_124_01,-21.349486861617105,37405.284884253
A_131_01,8.528175390910413e-17,1.1558569738602504
A_23_01,1.7951006016378896,1.2258365076698112
A_17_01,-105.86130700570341,1.1891773987485531e+23
