,IID,Coefficient,Standard Error
0,A,-0.04457995654156447,0.0864433410659627
1,C,0.05237222011031702,0.13142681022764988
2,B,0.2945494749411286,0.13791038646934378
3,DQB1,0.16789983813818074,0.12611055573395455
4,DRB4,-0.03308647112153265,0.08122902945746517
5,DRB5,-0.16214393460374485,0.0845408337146304
6,DRB1,0.15828608574905526,0.12562436919850306
7,DRB3,0.04979732075275774,0.0755964061654838
8,DPB1,-0.32139385555877054,0.15434677178126724
9,DPA1,-0.08201861278282425,0.07358365413584794
10,DQA1,-0.014049155773789339,0.11870939156227485
